Species,APOB,BDNF,BRCA1,GHR,RAG1,RAG2,ATP6,ATP8,COX1,COX2,COX3,CYTB,ND1,ND2,ND3,ND4,ND4L,ND5,ND6,12S_rRNA,16S_rRNA
Anourosorex_squamipes,GU981106,,DQ630210,MH332215,,MH331912,NC_024563,NC_024563,NC_024563,NC_024563,NC_024563,NC_024563,NC_024563,NC_024563,NC_024563,NC_024563,NC_024563,NC_024563,NC_024563,NC_024563,NC_024563
Anourosorex_yamashinai,LC124839,LC124897,DQ630266,,,,GU981136,,OM220058,,,OM363682,,GU981303,,GU981349,,GU981395,,GU981015,OM327639
Atelerix_albiventris,,,KF783081,KF783110,MK510420,,PV822543,PV822543,PV822543,PV822543,PV822543,PV822543,PV822543,PV822543,PV822543,PV822543,PV822543,PV822543,PV822543,PV822543,PV822543
Blarina_brevicauda,LC124840,LC124898,LC124931,AF392880,LC124964,KY249549,NC_042734,NC_042734,NC_042734,NC_042734,NC_042734,NC_042734,NC_042734,NC_042734,NC_042734,NC_042734,NC_042734,NC_042734,NC_042734,NC_042734,NC_042734
Blarinella_quadraticauda,JF719697,,MN199107,,,MN199116,NC_023950,NC_023950,NC_023950,NC_023950,NC_023950,NC_023950,NC_023950,NC_023950,NC_023950,NC_023950,NC_023950,NC_023950,NC_023950,NC_023950,NC_023950
Chimarrogale_himalayica,DQ630179,,DQ630260,,,KY082635,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622
Chimarrogale_styani,,ON219780,ON219792,ON219786,,ON219790,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622
Chimarrogale_platycephalus,LC269819,KX754641,DQ630249,KX755037,,KX754580,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622,NC_063622
Condylura_cristata,KX755142,AY011449,KX754516,KX755038,KX754553,KX754581,NC_029762,NC_029762,NC_029762,NC_029762,NC_029762,NC_029762,NC_029762,NC_029762,NC_029762,NC_029762,NC_029762,NC_029762,NC_029762,NC_029762,NC_029762
Congosorex_phillipsorum,GU473390,,,,MG973452,,,,,,,MG973425,,GU473580,,,,,,,EF507185
Crocidura_lasiura,LC081973,MW382002,MN690826,MW381936,MN690887,,NC_029329,NC_029329,NC_029329,NC_029329,NC_029329,NC_029329,NC_029329,NC_029329,NC_029329,NC_029329,NC_029329,NC_029329,NC_029329,NC_029329,NC_029329
Crocidura_olivieri,MH331991,MW381991,DQ630214,MH332214,KP995378,,,,KF684248,,,KF690160,,,,,,,,,DQ630296
Crocidura_russula,MW381918,MG973441,AY121755,MW395374,MG973460,,AY769264,AY769264,AY769264,AY769264,AY769264,AY769264,AY769264,AY769264,AY769264,AY769264,AY769264,AY769264,AY769264,AF441243,MZ661239
Crocidura_suaveolens,OP599610,AY986744,DQ630218,MW395376,MN690875,MW761968,MW815431,MW815431,MW815431,MW815431,MW815431,MW815431,MW815431,MW815431,MW815431,MW815431,MW815431,MW815431,MW815431,MW815431,MW815431
Cryptotis_parvus,LC124843,LC124902,LC124935,,LC124966,,MZ457419,MZ457419,MZ457419,MZ457419,MZ457419,MZ457419,MZ457419,MZ457419,MZ457419,MZ457419,MZ457419,MZ457419,MZ457419,MZ457419,MZ457419
Desmana_moschata,KX755143,KX754644,KX754518,KX755040,KX754554,KX754583,OZ208999,OZ208999,OZ208999,OZ208999,OZ208999,OZ208999,OZ208999,,OZ208999,OZ208999,OZ208999,OZ208999,OZ208999,OZ208999,OZ208999
Diplomesodon_pulchellum,OP599614,MG973443,OP599589,,MG973459,,,,,,,OP599562,,,,,,,,,EF524798
